Posizione;Squadra;PuntiFinali;PuntiOriginali;Penalita;Partite;Vinte;Pareggiate;Perse;GolFatti;GolSubiti;DiffReti;NotaPenalita
1;Auriga Juniors;12;12;0;7;4;0;3;26;27;-1;
2;BlackJack;11;11;0;7;3;2;2;24;22;2;
3;Out Of Office FC;10;10;0;7;3;1;3;33;28;5;
4;BOT & BALL;10;10;0;7;3;1;3;24;27;-3;
5;FC Stealthy Dribblers;8;8;0;8;2;2;4;22;25;-3;9 giornata persa a tavolino
